섹터A,섹터B,종목코드,종목명,시장구분,기존최고가달성일,기존최고가,당일종가,대비,등락률,종료일 거래량,종료일 거래금액(백만원),종료일 시가총액(억원)
가구 제조업,"사무용가구,금속가구 도매,제조",071950,코아스,kospi,2026-03-12,"2,350","2,510",415,19.81,"238,729",599,312
기타 금융업,-,105560,KB금융,kospi,2026-04-16,"162,300","162,700","6,100",3.9,"907,221","147,604","606,627"
기타 금융업,금융지주회사,055550,신한지주,kospi,2026-04-20,"100,000","100,600","4,200",4.36,"854,232","85,935","477,502"
기타 금융업,지주회사,402340,SK스퀘어,kospi,2026-06-02,"1,346,000","1,353,000","7,000",0.52,"468,657","634,092","1,785,396"
기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",028260,삼성물산,kospi,2026-06-02,"485,500","548,000","62,500",12.87,"654,894","358,881","888,678"
보험업,생명보험상품,085620,미래에셋생명,kospi,2026-03-18,"18,280","19,000","1,800",10.47,"1,034,146","19,648","25,684"
보험업,"손해보험의 원수,재보험,운용자산의 투자활동",000810,삼성화재,kospi,2026-06-02,"641,000","727,000","86,000",13.42,"244,506","177,755","324,587"
보험업,"손해보험의 원수,재보험,운용자산의 투자활동",000815,삼성화재우,kospi,2026-03-25,"402,500","417,000","30,500",7.89,"60,080","25,053","12,539"
소프트웨어 개발 및 공급업,모바일게임,192080,더블유게임즈,kospi,2026-05-28,"70,000","70,600",700,1.0,"49,684","3,507","14,948"
자동차 신품 부품 제조업,"자동차부품(트란스밋숀,프런트액슬,기어,전동축),변속동력전달장치,특수공구,농기계 및 산업기계부품 제조,무역",092200,디아이씨,kospi,2026-06-02,"9,600","9,900",300,3.12,"2,429,961","24,056","3,849"
전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대",007810,코리아써키트,kospi,2026-06-01,"119,600","125,100","16,100",14.77,"345,035","43,163","30,002"
종합 소매업,백화점,069960,현대백화점,kospi,2026-05-14,"125,000","135,900","14,100",11.58,"228,579","31,063","29,306"
종합 소매업,"백화점,할인점(E마트)",004170,신세계,kospi,2026-05-21,"578,000","646,000","77,000",13.53,"81,672","52,760","61,015"
특수 목적용 기계 제조업,LP CVD,036930,주성엔지니어링,kosdaq global,2026-05-26,"234,500","245,000","48,100",24.43,"4,873,462","1,193,998","113,878"
금융 지원 서비스업,기업인수목적 주식회사,472230,에스케이증권제11호스팩,kosdaq,2026-03-11,"2,070","2,070",0,0.0,"1,005",2,86
금융 지원 서비스업,기업인수합병,464680,KB제27호스팩,kosdaq,2026-05-29,"2,110","2,110",0,0.0,"122,218",257,272
금융 지원 서비스업,기업인수합병,469880,하나30호스팩,kosdaq,2026-05-27,"2,100","2,100",0,0.0,"4,529",9,153
기초 의약물질 제조업,닥터쥬크르,007390,네이처셀,kosdaq,2026-05-28,"32,300","33,000","2,250",7.32,"1,013,102","33,432","21,263"
봉제의복 제조업,"캐쥬얼의류(Thursday Island, TI FOR MEN)",065060,지엔코,kosdaq,2026-06-01,"3,450","3,510",160,4.78,"42,427",148,210
"영화, 비디오물, 방송프로그램 제작 및 배급업",VFX,476080,M83,kosdaq,2026-04-16,"7,220","7,760","1,790",29.98,"241,600","1,874",626
의약품 제조업,"인체조직(피부, 뼈, 연골)",290650,엘앤씨바이오,kosdaq,2026-03-10,"82,800","85,400","6,600",8.38,"520,950","44,489","23,032"
자동차 신품 부품 제조업,"마이크로비트,샤프트",085910,네오티스,kosdaq,2026-05-14,"32,000","32,950","4,350",15.21,"206,192","6,794","4,591"
"컴퓨터 프로그래밍, 시스템 통합 및 관리업","시스템통합, 지능형교통시스템",040350,크레오에스지,kosdaq,2026-06-02,"6,150","7,070",920,14.96,"376,189","2,659","1,380"
통신 및 방송 장비 제조업,RF 부품 및 중계기,032500,케이엠더블유,kosdaq,2026-05-22,"36,400","37,700","2,700",7.71,"1,289,076","48,598","15,906"
통신 및 방송 장비 제조업,"핸드폰 충전기, 핸즈프리",061040,알에프텍,kosdaq,2026-06-02,"7,850","8,020",170,2.17,"35,735",286,725
특수 목적용 기계 제조업,300mm Poly Etch System,089970,브이엠,kosdaq,2026-05-26,"66,200","69,800","15,600",28.78,"863,153","60,248","17,290"
특수 목적용 기계 제조업,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등",064290,인텍플러스,kosdaq,2026-05-26,"42,500","43,150","3,800",9.66,"590,869","25,495","5,550"
특수 목적용 기계 제조업,반도체장비(화학증착장비),095610,테스,kosdaq,2026-05-22,"129,000","135,900","31,300",29.92,"651,165","88,493","26,310"
특수 목적용 기계 제조업,실리콘질화막증착용LP-CVD,084370,유진테크,kosdaq,2026-05-11,"150,300","155,700","35,900",29.97,"286,677","44,635","35,680"
특수 목적용 기계 제조업,"카메라모듈 검사장비, 반도체 검사장비",271830,팸텍,kosdaq,2026-06-02,"1,816","2,135",319,17.57,"13,720,858","29,294",629
